2021-10-10 00:59:17, INFO: Current git head hash code: %s
2021-10-10 00:59:17, INFO: Using device: cpu
2021-10-10 00:59:17, INFO: Policy: LSTM-GA3C w/o pairwise interaction module
2021-10-10 00:59:17, INFO: human number: 5
2021-10-10 00:59:17, INFO: Not randomize human's radius and preferred speed
2021-10-10 00:59:17, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2021-10-10 00:59:17, INFO: Square width: 10.0, circle width: 4.0
2021-10-10 00:59:17, INFO: Load reinforcement learning trained weights. Resume training
2021-10-10 00:59:17, INFO: Agent is invisible and has holonomic kinematic constraint
2021-10-10 00:59:17, INFO: Current learning rate: 0.001000
2021-10-10 01:19:50, INFO: TRAIN in episode 39 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0338
2021-10-10 01:19:57, INFO: TRAIN in episode 40 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:20:05, INFO: TRAIN in episode 41 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:20:12, INFO: TRAIN in episode 42 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:20:19, INFO: TRAIN in episode 43 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:20:26, INFO: TRAIN in episode 44 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:20:34, INFO: TRAIN in episode 45 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:20:42, INFO: TRAIN in episode 46 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:20:49, INFO: TRAIN in episode 47 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:20:57, INFO: TRAIN in episode 48 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:21:04, INFO: TRAIN in episode 49 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:21:11, INFO: TRAIN in episode 50 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:21:18, INFO: TRAIN in episode 51 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:21:26, INFO: TRAIN in episode 52 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0099
2021-10-10 01:21:33, INFO: TRAIN in episode 53 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:21:40, INFO: TRAIN in episode 54 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:21:48, INFO: TRAIN in episode 55 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:21:55, INFO: TRAIN in episode 56 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:22:02, INFO: TRAIN in episode 57 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:22:09, INFO: TRAIN in episode 58 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:22:17, INFO: TRAIN in episode 59 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:22:24, INFO: TRAIN in episode 60 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:22:32, INFO: TRAIN in episode 61 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:22:39, INFO: TRAIN in episode 62 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:22:47, INFO: TRAIN in episode 63 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:22:55, INFO: TRAIN in episode 64 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:23:02, INFO: TRAIN in episode 65 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:23:09, INFO: TRAIN in episode 66 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:23:17, INFO: TRAIN in episode 67 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:23:24, INFO: TRAIN in episode 68 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0072
2021-10-10 01:23:30, INFO: TRAIN in episode 69 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
